track_id,track_name,artist_names,artist_ids,main_artist_name,main_artist_id,album_id,album_name,release_date,duration_ms,duration_min,popularity,explicit,track_url,added_at,is_local,artist_name_from_api,main_artist_genres,artist_popularity,artist_followers,title_script,song_title_language,genre_language_tags
2tgIvnkdDSBYsNBPGeffLJ,Kiss Goodbye,Leehom Wang,2F5W6Rsxwzg0plQ0w8dSyt,Leehom Wang,2F5W6Rsxwzg0plQ0w8dSyt,34D46J9tIGCqAj3FeiEA9O,蓋世英雄,2005-12-30,262013,4.366883333333333,55,False,https://open.spotify.com/track/2tgIvnkdDSBYsNBPGeffLJ,2026-03-01T22:03:54Z,False,Leehom Wang,"['mandopop', 'c-pop', 'taiwanese pop', 'chinese r&b', 'malay pop']",57,1192346,latin,Latin-script title,['Chinese-associated']
2b7O6Tcku6S4vPAVUpCFl0,依然愛你,Leehom Wang,2F5W6Rsxwzg0plQ0w8dSyt,Leehom Wang,2F5W6Rsxwzg0plQ0w8dSyt,51AiSotGTbqBLQrU89XEhA,火力全開 新歌 + 精選,2011-09-30,246226,4.103766666666667,53,False,https://open.spotify.com/track/2b7O6Tcku6S4vPAVUpCFl0,2026-03-01T22:04:00Z,False,Leehom Wang,"['mandopop', 'c-pop', 'taiwanese pop', 'chinese r&b', 'malay pop']",57,1192346,chinese,Chinese-script title,['Chinese-associated']
7DQOE8yIchm7bPPvJ0w6Bf,好心分手 (feat. Leehom Wang),"Candy Lo, Leehom Wang","51ZbCFgOspWvhBjd1DUYEV, 2F5W6Rsxwzg0plQ0w8dSyt",Candy Lo,51ZbCFgOspWvhBjd1DUYEV,7yn80UGvcC7VOPMJjxZZEa,不能不愛…盧巧音精選,1998,180226,3.0037666666666665,55,False,https://open.spotify.com/track/7DQOE8yIchm7bPPvJ0w6Bf,2026-03-01T22:04:06Z,False,Candy Lo,"['cantopop', 'mandopop', 'c-pop', 'taiwanese pop']",44,120066,mixed,Mixed-script title,['Chinese-associated']
60tmvqe54CVFvmKTVlnnQN,春雨裡洗過的太陽,Leehom Wang,2F5W6Rsxwzg0plQ0w8dSyt,Leehom Wang,2F5W6Rsxwzg0plQ0w8dSyt,4q3Dp4JkTVThfMe2OiZfUx,心跳,2008-12-01,291693,4.86155,41,False,https://open.spotify.com/track/60tmvqe54CVFvmKTVlnnQN,2026-03-02T02:47:59Z,False,Leehom Wang,"['mandopop', 'c-pop', 'taiwanese pop', 'chinese r&b', 'malay pop']",57,1192346,chinese,Chinese-script title,['Chinese-associated']
6akVETVeqqPVvuBS5e0EB1,孤勇者 - 《英雄聯盟：雙城之戰》動畫劇集中文主題曲,Eason Chan,2QcZxAgcs2I1q7CtCkl6MI,Eason Chan,2QcZxAgcs2I1q7CtCkl6MI,5AXZCa9l5fESG0jLuaOchp,孤勇者 (《英雄聯盟：雙城之戰》動畫劇集中文主題曲),2021-12-07,256000,4.266666666666667,60,False,https://open.spotify.com/track/6akVETVeqqPVvuBS5e0EB1,2026-03-03T19:57:00Z,False,Eason Chan,"['cantopop', 'mandopop', 'c-pop', 'taiwanese pop']",66,4120437,chinese,Chinese-script title,['Chinese-associated']
6Yfj32isBglNXtHWLZtqTG,你的愛,Leehom Wang,2F5W6Rsxwzg0plQ0w8dSyt,Leehom Wang,2F5W6Rsxwzg0plQ0w8dSyt,65V5pwpP4cQjiapCGDZtzm,你的愛,2015-01-23,231226,3.8537666666666666,42,False,https://open.spotify.com/track/6Yfj32isBglNXtHWLZtqTG,2026-03-04T19:09:25Z,False,Leehom Wang,"['mandopop', 'c-pop', 'taiwanese pop', 'chinese r&b', 'malay pop']",57,1192346,chinese,Chinese-script title,['Chinese-associated']
2isNU5MCaoKgQDXefPWwHR,きみと恋のままで終われない いつも夢のままじゃいられない,Mai Kuraki,4x3GOic9xXFOoOBrEMuvN9,Mai Kuraki,4x3GOic9xXFOoOBrEMuvN9,7F53KdILmtbxx5GyvPu3jh,Let's GOAL！-薔薇色の人生-,2019-08-14,274140,4.569,43,False,https://open.spotify.com/track/2isNU5MCaoKgQDXefPWwHR,2026-03-05T19:45:54Z,False,Mai Kuraki,"['j-pop', 'anime']",52,166056,mixed,Mixed-script title,['Japanese-associated']
0U7glEXwSbzi888SZdpl5V,ありがとう。愛してた人 feat. Spontania,"Tiara, Spontania","2i7pUrZo9AJeK9XR6nPhqD, 3B1Bb9rGqk3iAcn0G6V21S",Tiara,2i7pUrZo9AJeK9XR6nPhqD,4XE2lk1tkusHpiBqakGaDL,LOVERS ~Tiara Collaborations Album~,2011-09-07,240186,4.0031,35,False,https://open.spotify.com/track/0U7glEXwSbzi888SZdpl5V,2026-03-05T19:53:31Z,False,Tiara,"['j-r&b', 'enka', 'j-pop']",37,13047,mixed,Mixed-script title,['Japanese-associated']
7MfJVe7of8qWEMcCwQnAvS,Pushing Me Away,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,2pKw6GERJVAD61449B1EEM,Hybrid Theory,2000-10-24,191440,3.1906666666666665,53,False,https://open.spotify.com/track/7MfJVe7of8qWEMcCwQnAvS,2026-03-09T20:06:52Z,False,Linkin Park,"['nu metal', 'rap metal', 'rock', 'alternative metal']",89,34542635,latin,Latin-script title,['Western-associated']
64TfjW0Ebj9Uq0ik2OfmE7,Rise - Acoustic,"Jonas Blue, Jack & Jack","1HBjj22wzbscIZ9sEb5dyf, 1INuLZXjjVbcJRyWvD1iSq",Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,4M4lVwxi3BpaAmv9hMIzrm,Rise (Acoustic),2018-07-13,232650,3.8775,42,False,https://open.spotify.com/track/64TfjW0Ebj9Uq0ik2OfmE7,2026-03-09T20:08:18Z,False,Jonas Blue,['tropical house'],74,3928792,latin,Latin-script title,['Western/Latin-title-associated']
47rK8X3g7U4rkesGoImcWs,夠愛,"Pets Tseng, 東城衞","1he19XnDUahODrmRwKlC8w, 2O6keICsqHVz0aT76uZ5bw",Pets Tseng,1he19XnDUahODrmRwKlC8w,2FSlLMcMEqOSjWAdTiT77G,強辯之終極三國 - 三團鼎立Super大鬥陣,2009-04-03,291666,4.8611,58,False,https://open.spotify.com/track/47rK8X3g7U4rkesGoImcWs,2026-03-10T19:05:15Z,False,Pets Tseng,"['mandopop', 'taiwanese pop', 'c-pop', 'malay pop']",57,120011,chinese,Chinese-script title,['Chinese-associated']
7lCLZlVt6g4ifoHXpXEHZm,少一點天份,Shi Shi,4XKp9GFAQfsh2NflSRnHQi,Shi Shi,4XKp9GFAQfsh2NflSRnHQi,4vQmhM0pqz8ddnohjA5ojb,Girls,2014-12-17,276673,4.6112166666666665,57,False,https://open.spotify.com/track/7lCLZlVt6g4ifoHXpXEHZm,2026-03-11T16:14:29Z,False,Shi Shi,"['chinese r&b', 'taiwanese indie', 'mandopop', 'taiwanese pop', 'c-pop', 'chinese indie']",51,216572,chinese,Chinese-script title,['Chinese-associated']
2zB7NKVnzRh7xSUSPLErFr,明明就,Jay Chou,2elBjNSdBE2Y3f0j1mjrql,Jay Chou,2elBjNSdBE2Y3f0j1mjrql,6n2mXP41BEn7b3FXX3Hcc9,十二新作,2012-12-28,260385,4.33975,60,False,https://open.spotify.com/track/2zB7NKVnzRh7xSUSPLErFr,2026-03-13T20:54:34Z,False,Jay Chou,"['mandopop', 'c-pop', 'taiwanese pop', 'gufeng', 'malay pop', 'cantopop', 'chinese r&b']",74,8429851,chinese,Chinese-script title,['Chinese-associated']
